"","index_0","sample","value"
"1",0,0,168.116230958674
"2",1,0,173.848405470491
"3",0,1,153.836746229701
"4",1,1,180.95002170717
"5",0,2,149.424377015002
"6",1,2,184.245312675893
"7",0,3,151.423991131471
"8",1,3,179.095846679697
"9",0,4,146.195585078011
"10",1,4,186.611733307561
"11",0,5,130.865873611739
"12",1,5,188.496661649216
"13",0,6,120.391216845684
"14",1,6,194.472118426229
"15",0,7,123.00901513502
"16",1,7,195.616861794419
"17",0,8,117.405582549184
"18",1,8,198.361010233839
"19",0,9,122.071923464186
"20",1,9,198.754919390182
"21",0,10,120.914255071768
"22",1,10,199.670439698776
"23",0,11,123.462526871792
"24",1,11,200.469886992279
"25",0,12,117.862656205868
"26",1,12,202.019363111048
"27",0,13,118.531129347806
"28",1,13,199.345498517036
"29",0,14,120.159934141191
"30",1,14,199.674350776332
"31",0,15,119.271181903963
"32",1,15,201.134756871799
"33",0,16,122.772976941976
"34",1,16,202.256742295139
"35",0,17,119.528265894814
"36",1,17,201.03940084723
"37",0,18,121.300016233319
"38",1,18,199.659535132232
"39",0,19,117.4737427841
"40",1,19,198.047910802121
"41",0,20,115.197566100526
"42",1,20,197.686974042204
"43",0,21,116.256257335048
"44",1,21,196.113429028952
"45",0,22,117.409132966923
"46",1,22,194.970755350371
"47",0,23,118.350453576592
"48",1,23,196.949857329049
"49",0,24,117.168385519828
"50",1,24,196.074955479493
"51",0,25,116.475720182955
"52",1,25,197.340795054304
"53",0,26,114.347905093856
"54",1,26,198.996846732492
"55",0,27,114.062572748782
"56",1,27,197.984316566552
"57",0,28,119.678687552688
"58",1,28,199.781733405599
"59",0,29,113.0282668435
"60",1,29,199.022042278294
"61",0,30,115.328213279156
"62",1,30,196.054548835637
"63",0,31,114.552352133822
"64",1,31,199.619622512804
"65",0,32,112.618509942009
"66",1,32,197.40745693943
"67",0,33,112.09202594361
"68",1,33,197.955946626467
"69",0,34,114.750117814514
"70",1,34,202.712052731775
"71",0,35,116.082790035379
"72",1,35,196.536680629705
"73",0,36,117.772117250144
"74",1,36,196.800577350407
"75",0,37,119.411573971017
"76",1,37,200.673043370866
"77",0,38,118.899396358905
"78",1,38,198.595681279834
"79",0,39,122.204807666651
"80",1,39,200.716579986278
"81",0,40,110.626655329621
"82",1,40,200.636760552299
"83",0,41,110.474699423993
"84",1,41,198.194616834841
"85",0,42,119.459339678676
"86",1,42,200.96064418659
"87",0,43,119.134705327748
"88",1,43,199.432529119921
"89",0,44,120.930713626508
"90",1,44,202.185919077526
"91",0,45,129.70891759904
"92",1,45,202.129068149255
"93",0,46,128.900401123182
"94",1,46,202.893263734683
"95",0,47,134.138557851167
"96",1,47,202.489822558675
"97",0,48,131.121752201133
"98",1,48,203.982225322934
"99",0,49,129.752015097457
"100",1,49,203.507608590313
"101",0,50,134.211537148819
"102",1,50,208.899055717647
"103",0,51,131.65109701772
"104",1,51,204.093902143185
"105",0,52,127.16088608805
"106",1,52,204.089451141122
"107",0,53,129.45057769691
"108",1,53,203.039652868123
"109",0,54,132.339245897272
"110",1,54,203.050456542019
"111",0,55,127.642547390656
"112",1,55,204.354464357027
"113",0,56,132.148309601567
"114",1,56,204.390392711928
"115",0,57,135.119755227615
"116",1,57,205.20151280834
"117",0,58,134.848753457404
"118",1,58,202.544108107176
"119",0,59,125.775706218103
"120",1,59,201.645953569591
"121",0,60,129.249024457137
"122",1,60,200.435669440461
"123",0,61,130.096030968554
"124",1,61,198.652857006557
"125",0,62,123.41227866348
"126",1,62,201.030019364161
"127",0,63,123.592221930647
"128",1,63,202.48348207478
"129",0,64,125.243827381981
"130",1,64,199.595309252856
"131",0,65,123.998717862555
"132",1,65,199.598614359425
"133",0,66,121.319378088551
"134",1,66,203.965573808192
"135",0,67,116.909562426892
"136",1,67,202.968896075293
"137",0,68,120.304691600015
"138",1,68,201.212180257085
"139",0,69,124.118152216641
"140",1,69,197.257943441846
"141",0,70,126.750177913434
"142",1,70,201.539038233695
"143",0,71,120.982495434589
"144",1,71,202.888422122424
"145",0,72,126.382309638592
"146",1,72,201.796070568851
"147",0,73,123.152861165586
"148",1,73,198.914931374907
"149",0,74,120.93453711373
"150",1,74,199.875904058081
"151",0,75,123.560331381935
"152",1,75,201.570279079886
"153",0,76,114.168679136597
"154",1,76,201.501922143842
"155",0,77,118.385971176239
"156",1,77,198.568989831809
"157",0,78,117.584855698973
"158",1,78,199.067417635627
"159",0,79,116.355250905372
"160",1,79,197.229977324732
"161",0,80,124.010062939815
"162",1,80,198.741254019282
"163",0,81,124.778018163147
"164",1,81,198.423869915716
"165",0,82,123.149079064284
"166",1,82,198.40345382521
"167",0,83,118.458578613879
"168",1,83,201.66505614988
"169",0,84,124.193725826671
"170",1,84,202.498683569125
"171",0,85,118.247037241041
"172",1,85,205.544694781026
"173",0,86,123.741625274544
"174",1,86,201.139954926058
"175",0,87,118.861978848972
"176",1,87,203.034691177818
